Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
904.9765263000008	30.0	80.0	900-1100	-0.6267907513251214
914.492591999995	40.0	80.0	500-600	0.0
914.492591999995	40.0	80.0	600-700	0.0
914.492591999995	40.0	80.0	700-800	0.015175233463929409
914.492591999995	40.0	80.0	800-900	0.08082743642161513
914.492591999995	40.0	80.0	900-1100	1.6187482932230377
921.6645157000021	50.0	80.0	500-600	0.0
921.6645157000021	50.0	80.0	600-700	0.0
921.6645157000021	50.0	80.0	700-800	0.0065850404162515275
921.6645157000021	50.0	80.0	800-900	0.031183255851516573
921.6645157000021	50.0	80.0	900-1100	0.6672295807007892
928.3467672999977	60.0	80.0	500-600	0.0
928.3467672999977	60.0	80.0	600-700	0.0
928.3467672999977	60.0	80.0	700-800	-7.779014213362468e-05
928.3467672999977	60.0	80.0	800-900	-0.006116300817732148
928.3467672999977	60.0	80.0	900-1100	-0.4508381934998043
935.3438707000023	70.0	80.0	500-600	0.0
935.3438707000023	70.0	80.0	600-700	0.0
935.3438707000023	70.0	80.0	700-800	0.012418267125402024
935.3438707000023	70.0	80.0	800-900	0.07379355087599951
935.3438707000023	70.0	80.0	900-1100	1.807129061498571
944.0552700999979	80.0	80.0	500-600	0.0
944.0552700999979	80.0	80.0	600-700	0.0
944.0552700999979	80.0	80.0	700-800	0.0034025665198403865
944.0552700999979	80.0	80.0	800-900	0.011900822754109154
944.0552700999979	80.0	80.0	900-1100	0.23030233617734389
